項次,出入口名稱,出入口編號,經度,緯度,是否為無障礙用
170,竹圍站出口2,2,121.459383,25.136854,是
171,紅樹林站出口1,1,121.4590331,25.15449713,是
172,紅樹林站出口2,2,121.458733,25.154597,否
173,淡水站出口1,1,121.445502,25.168266,是
174,淡水站出口2,2,121.4457904,25.16776197,是
175,淡水站出口3,3,121.445573,25.167601,否
176,永寧站出口1,1,121.4355625,24.966641,是
177,永寧站出口2,2,121.435795,24.966019,是
178,永寧站出口3,3,121.437111,24.967252,否
179,永寧站出口4,4,121.436866,24.96753917,否
180,土城站出口1,1,121.444173,24.973251,是
181,土城站出口2,2,121.443671,24.972663,否
182,土城站出口3,3,121.445266,24.973714,否
183,海山站出口1,1,121.4486097,24.9853885,否
184,海山站出口2,2,121.4488709,24.9853326,是
185,海山站出口3,3,121.4492224,24.9863003,否
186,亞東醫院站出口1,1,121.452581,24.998933,否
187,亞東醫院站出口2,2,121.452388,24.998252,否
188,亞東醫院站出口3,3,121.45287,24.998875,是
189,府中站出口1,1,121.459077,25.008486,是
190,府中站出口2,2,121.459501,25.008943,否
191,府中站出口3,3,121.45897,25.009162,否
192,板橋站出口1,1,121.461838,25.0133143,否
193,板橋站出口2,2,121.4626517,25.0133295,否
194,板橋站出口3,3,121.4626534,25.0144418,是
195,新埔站出口1,1,121.467457,25.023063,否
196,新埔站出口2,2,121.468176,25.0222,否
197,新埔站出口3,3,121.468574,25.022844,否
198,新埔站出口4,4,121.468728,25.023638,是
199,新埔站出口5,5,121.468138,25.024163,是
200,江子翠站出口1,1,121.471914,25.030298,否
201,江子翠站出口2,2,121.471903,25.029782,否
202,江子翠站出口3,3,121.472156,25.029459,是
203,江子翠站出口4,4,121.472719,25.029763,否
204,江子翠站出口5,5,121.4734263,25.03098798,否
205,江子翠站出口6,6,121.4730606,25.03120599,否
206,龍山寺站出口1,1,121.49953,25.035484,是
207,龍山寺站出口2,2,121.499798,25.035109,否
208,龍山寺站出口3,3,121.501622,25.035421,否
209,善導寺站出口1,1,121.523009,25.045097,否
210,善導寺站出口2,2,121.523053,25.044796,否
211,善導寺站出口3,3,121.523734,25.044568,是
212,善導寺站出口4,4,121.524217,25.044111,否
213,善導寺站出口5,5,121.52482,25.044256,否
214,善導寺站出口6,6,121.524898,25.044632,否
215,忠孝新生站出口2,2,121.532065,25.042103,是
216,忠孝新生站出口3,3,121.53368,25.041783,是
217,忠孝新生站出口4,4,121.533213,25.042458,否
218,忠孝新生站出口1,1,121.531829,25.042784,否
219,忠孝新生站出口5,5,121.532232,25.041214,否
220,忠孝新生站出口6,6,121.533068,25.040791,否
221,忠孝新生站出口7,7,121.533068,25.041729,否
222,忠孝敦化站出口1,1,121.550578,25.041642,否
223,忠孝敦化站出口2,2,121.551694,25.041632,是
224,忠孝敦化站出口3,3,121.551586,25.04134,否
225,忠孝敦化站出口4,4,121.550567,25.04135,否
226,忠孝敦化站出口5,5,121.549824,25.041238,否
227,忠孝敦化站出口6,6,121.549174,25.041029,否
228,忠孝敦化站出口7,7,121.549913,25.041661,否
229,忠孝敦化站出口8,8,121.549194,25.041928,否
230,國父紀念館站出口1,1,121.556663,25.041838,否
231,國父紀念館站出口2,2,121.556704,25.041029,否
232,國父紀念館站出口3,3,121.557981,25.041195,否
233,國父紀念館站出口4,4,121.558539,25.04117,是
